id,longId,mid,eventId,definitionId,definitionName,eventName,contactKey,entrySource,epochTimeInMilliseconds,transactionTime,status,clientStatus,message,activityId,activityType,activityName,definitionInstanceId,createdDate,activityBatchInstanceId,eid,startDate,endDate,outcomeActivityId,sourceType,result.status,result.messages,_score,messageSource
24680219,24680219,510000968,bcbaad5a-acb4-4413-b3ac-017743e33916,774a8271-cc0d-46af-8d6d-64a5836783a4,tw-abandon_conversion-automd-abandon_cart-20230808,tw-abandon_conversion-automd-abandon_cart-20230808,0032u00000ibOIQAA2,SourceQueueSlotWorker.ProcessItem,1717402696260,2024-06-03T08:18:16.26Z,Complete,Success,,00000000-0000-0000-0000-000000000000,Other,,6fe24973-0061-4efd-85be-f8cd00d5f9bd,2024-06-03T02:18:16.26-06:00,45533bed-39ae-4f68-b841-0605151a0da9,500009930,2024-06-03T02:18:16.26-06:00,2024-06-03T02:18:16.26-06:00,deca7ae2-2797-4094-9e85-b2a48c8fe1f0,0,Continue,[],0,1
24680219,24680219,510000968,bcbaad5a-acb4-4413-b3ac-017743e33916,774a8271-cc0d-46af-8d6d-64a5836783a4,tw-abandon_conversion-automd-abandon_cart-20230808,tw-abandon_conversion-automd-abandon_cart-20230808,0032u00000ibOIQAA2,SourceQueueSlotWorker.ProcessItem,1717402630905,2024-06-03T08:17:10.905Z,Waiting,EnteredWait,,deca7ae2-2797-4094-9e85-b2a48c8fe1f0,SALESCLOUDACTIVITY,🤖END_CONTACTJOURNEY(EXCLUDED_BY_369),6fe24973-0061-4efd-85be-f8cd00d5f9bd,2024-06-03T02:17:10.905-06:00,34ffaee7-3b12-4bc5-b763-8a02d1360c40,500009930,2024-06-03T02:17:10.874-06:00,2024-06-03T02:17:10.905-06:00,ca74e55b-81e2-4da0-b094-e44fff3b8651,0,Wait,[],0,1
24680219,24680219,510000968,bcbaad5a-acb4-4413-b3ac-017743e33916,774a8271-cc0d-46af-8d6d-64a5836783a4,tw-abandon_conversion-automd-abandon_cart-20230808,tw-abandon_conversion-automd-abandon_cart-20230808,0032u00000ibOIQAA2,SourceQueueSlotWorker.ProcessItem,1717402630874,2024-06-03T08:17:10.874Z,Complete,Success,,5743d78e-e7bf-432f-b5e6-46c51b4f1d3f,UPDATECONTACTDATA,IN_PETITION=FALSE,6fe24973-0061-4efd-85be-f8cd00d5f9bd,2024-06-03T02:17:10.874-06:00,34ffaee7-3b12-4bc5-b763-8a02d1360c40,500009930,2024-06-03T02:17:10.796-06:00,2024-06-03T02:17:10.874-06:00,deca7ae2-2797-4094-9e85-b2a48c8fe1f0,0,Continue,[],0,1
24680219,24680219,510000968,bcbaad5a-acb4-4413-b3ac-017743e33916,774a8271-cc0d-46af-8d6d-64a5836783a4,tw-abandon_conversion-automd-abandon_cart-20230808,tw-abandon_conversion-automd-abandon_cart-20230808,0032u00000ibOIQAA2,SourceQueueSlotWorker.ProcessItem,1717402630796,2024-06-03T08:17:10.796Z,Complete,Success,,00000000-0000-0000-0000-000000000000,Other,,6fe24973-0061-4efd-85be-f8cd00d5f9bd,2024-06-03T02:17:10.796-06:00,34ffaee7-3b12-4bc5-b763-8a02d1360c40,500009930,2024-06-03T02:17:10.796-06:00,2024-06-03T02:17:10.796-06:00,5743d78e-e7bf-432f-b5e6-46c51b4f1d3f,0,Continue,[],0,1
24680219,24680219,510000968,bcbaad5a-acb4-4413-b3ac-017743e33916,774a8271-cc0d-46af-8d6d-64a5836783a4,tw-abandon_conversion-automd-abandon_cart-20230808,tw-abandon_conversion-automd-abandon_cart-20230808,0032u00000ibOIQAA2,SourceQueueSlotWorker.ProcessItem,1717402630780,2024-06-03T08:17:10.78Z,Complete,Success,,00000000-0000-0000-0000-000000000000,Other,,6fe24973-0061-4efd-85be-f8cd00d5f9bd,2024-06-03T02:17:10.78-06:00,34ffaee7-3b12-4bc5-b763-8a02d1360c40,500009930,2024-06-03T02:17:10.78-06:00,2024-06-03T02:17:10.78-06:00,00000000-0000-0000-0000-000000000000,0,Continue,[],0,1
24680219,24680219,510000968,bcbaad5a-acb4-4413-b3ac-017743e33916,774a8271-cc0d-46af-8d6d-64a5836783a4,tw-abandon_conversion-automd-abandon_cart-20230808,tw-abandon_conversion-automd-abandon_cart-20230808,0032u00000ibOIQAA2,SourceQueueSlotWorker.ProcessItem,1717402630765,2024-06-03T08:17:10.765Z,Complete,ExitedWait,,79e89720-d2db-448f-89d4-919a7003b438,WaitActivity,15 minutes,6fe24973-0061-4efd-85be-f8cd00d5f9bd,2024-06-03T02:17:10.765-06:00,34ffaee7-3b12-4bc5-b763-8a02d1360c40,500009930,2024-06-03T02:17:10.765-06:00,2024-06-03T02:17:10.765-06:00,00000000-0000-0000-0000-000000000000,0,ComingOffWait,[],0,1
24680219,24680219,510000968,bcbaad5a-acb4-4413-b3ac-017743e33916,774a8271-cc0d-46af-8d6d-64a5836783a4,tw-abandon_conversion-automd-abandon_cart-20230808,tw-abandon_conversion-automd-abandon_cart-20230808,0032u00000ibOIQAA2,SourceQueueSlotWorker.ProcessItem,1717402630765,2024-06-03T08:17:10.765Z,Complete,Success,,00000000-0000-0000-0000-000000000000,Other,,6fe24973-0061-4efd-85be-f8cd00d5f9bd,2024-06-03T02:17:10.765-06:00,34ffaee7-3b12-4bc5-b763-8a02d1360c40,500009930,2024-06-03T02:17:10.749-06:00,2024-06-03T02:17:10.765-06:00,79e89720-d2db-448f-89d4-919a7003b438,0,Continue,[],0,1
6648204,6648204,510000968,bcbaad5a-acb4-4413-b3ac-017743e33916,774a8271-cc0d-46af-8d6d-64a5836783a4,tw-abandon_conversion-automd-abandon_cart-20230808,tw-abandon_conversion-automd-abandon_cart-20230808,0032u00000FBTaYAAX,SourceQueueSlotWorker.ProcessItem,1717401846647,2024-06-03T08:04:06.647Z,Waiting,EnteredWait,,de4b50f9-3f87-418d-a5d9-cad016cdd0e2,WaitActivity,1 day,c2f2693e-f436-4647-a9c0-c69b5974d058,2024-06-03T02:04:06.647-06:00,ef727e45-83c0-4548-9bd8-1713d870502c,500009930,2024-06-03T02:04:06.615-06:00,2024-06-03T02:04:06.647-06:00,bfae4ce4-64ef-4ecf-8e71-2e676acad941,0,Wait,[],0,1
6648204,6648204,510000968,bcbaad5a-acb4-4413-b3ac-017743e33916,774a8271-cc0d-46af-8d6d-64a5836783a4,tw-abandon_conversion-automd-abandon_cart-20230808,tw-abandon_conversion-automd-abandon_cart-20230808,0032u00000FBTaYAAX,SourceQueueSlotWorker.ProcessItem,1717401846600,2024-06-03T08:04:06.6Z,Complete,Success,,74ac5403-de45-45e3-9bda-8c2ed859685c,SALESCLOUDACTIVITY,🤖END_CONTACTJOURNEY(Remainder),c2f2693e-f436-4647-a9c0-c69b5974d058,2024-06-03T02:04:06.6-06:00,ef727e45-83c0-4548-9bd8-1713d870502c,500009930,2024-06-03T02:04:06.584-06:00,2024-06-03T02:04:06.6-06:00,de4b50f9-3f87-418d-a5d9-cad016cdd0e2,0,Continue,"[
  {
    ""level"": ""Info"",
    ""errorCode"": ""SALESCLOUD_SalesforceObjectId"",
    ""message"": ""a1kIf00000036CMIAY"",
    ""type"": ""User"",
    ""parameters"": {
      ""salesforceObjectId"": ""a1kIf00000036CMIAY""
    }
  }
]",0,1
6648204,6648204,510000968,bcbaad5a-acb4-4413-b3ac-017743e33916,774a8271-cc0d-46af-8d6d-64a5836783a4,tw-abandon_conversion-automd-abandon_cart-20230808,tw-abandon_conversion-automd-abandon_cart-20230808,0032u00000FBTaYAAX,SourceQueueSlotWorker.ProcessItem,1717401846568,2024-06-03T08:04:06.568Z,Complete,Success,,00000000-0000-0000-0000-000000000000,Other,,c2f2693e-f436-4647-a9c0-c69b5974d058,2024-06-03T02:04:06.568-06:00,ef727e45-83c0-4548-9bd8-1713d870502c,500009930,2024-06-03T02:04:06.428-06:00,2024-06-03T02:04:06.568-06:00,74ac5403-de45-45e3-9bda-8c2ed859685c,0,Continue,[],0,1
